"match_id","series","round_num","t_team","ct_team","map_name","winning_team","winning_side","start_tick","end_tick","round_end_reason","ct_buy_type","t_buy_type","is_warmup","created_at"
"2hwmhm2w",2,26,"mastermix123","EC Brugge","de_ancient","mastermix123","T",352536,363252,"TargetBombed","Full Eco","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,27,"mastermix123","EC Brugge","de_ancient","EC Brugge","CT",364148,372213,"BombDefused","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,28,"mastermix123","EC Brugge","de_ancient","mastermix123","T",373109,384612,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,29,"mastermix123","EC Brugge","de_ancient","mastermix123","T",385508,399415,"TargetBombed","Full Eco","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,30,"mastermix123","EC Brugge","de_ancient","EC Brugge","CT",400311,408953,"CTWin","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",3,1,"EC Brugge","mastermix123","de_nuke","EC Brugge","T",22983,29797,"TerroristsWin","Eco","Eco",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,2,"EC Brugge","mastermix123","de_nuke","mastermix123","CT",30693,40398,"CTWin","Half Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,3,"EC Brugge","mastermix123","de_nuke","mastermix123","CT",41294,54622,"BombDefused","Full Buy","Eco",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,4,"EC Brugge","mastermix123","de_nuke","mastermix123","CT",55518,69744,"CTWin","Full Buy","Half Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,5,"EC Brugge","mastermix123","de_nuke","mastermix123","CT",70640,80375,"CTWin","Full Buy","Eco",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,6,"EC Brugge","mastermix123","de_nuke","mastermix123","CT",81271,93902,"CTWin","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,7,"EC Brugge","mastermix123","de_nuke","EC Brugge","T",94798,109053,"TerroristsWin","Full Buy","Half Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,8,"EC Brugge","mastermix123","de_nuke","EC Brugge","T",109949,124203,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,9,"EC Brugge","mastermix123","de_nuke","EC Brugge","T",125099,133299,"TerroristsWin","Eco","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,10,"EC Brugge","mastermix123","de_nuke","mastermix123","CT",134195,144553,"CTWin","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
