"match_id","series","round_num","tick","seconds","clock_time","player_steam_id","player_name","player_team","bomb_action","bomb_site","created_at"
"2hwmhm2w",2,8,126703,27.3125,"00:13","76561198821532633","eneshan","mastermix123","defuse_start","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,8,127985,37.328125,"00:03","76561198821532633","eneshan","mastermix123","defuse","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,9,137576,52.9296875,"01:03","76561197971923260","simixinho","EC Brugge","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,9,137968,55.9921875,"00:60","76561197971923260","simixinho","EC Brugge","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,10,149880,30.0703125,"01:25","76561198246325048","swiiffter","EC Brugge","plant_begin","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,10,150270,33.1171875,"01:22","76561198246325048","swiiffter","EC Brugge","plant","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,11,165016,52.203125,"01:03","76561197971923260","simixinho","EC Brugge","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,11,165408,55.265625,"00:60","76561197971923260","simixinho","EC Brugge","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,12,175395,49.78125,"01:06","76561197971923260","simixinho","EC Brugge","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,12,175785,52.828125,"01:03","76561197971923260","simixinho","EC Brugge","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,13,194871,104.6171875,"00:11","76561198140853900","Stev0se","EC Brugge","plant_begin","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,13,195261,107.6640625,"00:08","76561198140853900","Stev0se","EC Brugge","plant","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,13,197689,18.96875,"00:22","76561198037278295","Beruya","mastermix123","defuse_start","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,13,198329,23.96875,"00:17","76561198037278295","Beruya","mastermix123","defuse","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,15,222508,29.890625,"01:26","76561197971923260","simixinho","EC Brugge","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,15,222900,32.953125,"01:23","76561197971923260","simixinho","EC Brugge","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,16,233096,42.578125,"01:13","76561198314392309","n0te","mastermix123","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,16,233398,44.9375,"01:11","76561198314392309","n0te","mastermix123","plant_abort","B","2023-06-05 10:23:10.6181+00"
