"match_id","series","round_num","entity_id","throw_tick","throw_seconds","throw_clock_time","thrower_steam_id","thrower_name","thrower_side","thrower_team","thrower_x","thrower_y","thrower_z","thrower_area_name","thrower_area_id","grenade_type","grenade_x","grenade_y","grenade_z","grenade_area_name","grenade_area_id","created_at","idx"
"2hwmhm2w",1,17,1404231420100032385,254537,36.296875,"01:19","76561198037278295","Beruya","CT","mastermix123",2495.28125,-39.90625,158.96875,"","2862","Incendiary Grenade",1920.375,-266.34375,259.21875,"Apartments","3050","2023-06-05 10:21:16.558091+00",279
"2hwmhm2w",1,16,1428544365524210365,237302,9.1875,"01:46","76561198821532633","eneshan","CT","mastermix123",807.59375,2318.75,206.15625,"BombsiteB","65","HE Grenade",188.75,1428.0625,153.375,"Banana","790","2023-06-05 10:21:16.558091+00",268
"2hwmhm2w",1,10,1456090372712803555,154250,27.921875,"01:28","76561198032071879","n0tice","CT","EC Brugge",144.53125,2667.25,267.5,"BombsiteB","1883","Incendiary Grenade",464.15625,2050.28125,191.21875,"Banana","507","2023-06-05 10:21:16.558091+00",161
"2hwmhm2w",1,3,1476309344143727317,54236,17.15625,"01:38","76561198314392309","n0te","T","mastermix123",-658.0625,606.65625,81.1875,"LowerMid","1176","Flashbang",-149.65625,1443.40625,558.5625,"Banana","250","2023-06-05 10:21:16.558091+00",31
"2hwmhm2w",1,11,1479293579654608702,166872,10.296875,"01:45","76561198314392309","n0te","T","mastermix123",175.15625,1229.65625,166.5,"Banana","2636","HE Grenade",473.46875,2069.1875,164.625,"Banana","507","2023-06-05 10:21:16.558091+00",180
"2hwmhm2w",1,12,1495933363110658348,186176,29.828125,"01:26","76561198100798845","Arttub0b","T","mastermix123",117.6875,1583.78125,226.46875,"Banana","975","Flashbang",591,2557.5625,409.125,"BombsiteB","2087","2023-06-05 10:21:16.558091+00",198
"2hwmhm2w",1,7,1549118843616527076,103554,17.828125,"01:38","76561198037278295","Beruya","T","mastermix123",352.34375,-121.5,151.125,"SecondMid","1443","Flashbang",1266.53125,-249,279,"Apartments","3047","2023-06-05 10:21:16.558091+00",101
"2hwmhm2w",1,12,1583043836826017171,187072,36.828125,"01:19","76561198037278295","Beruya","T","mastermix123",708.34375,2953.09375,183.3125,"BombsiteB","2820","HE Grenade",4.34375,2455.6875,160.625,"BombsiteB","1878","2023-06-05 10:21:16.558091+00",203
"2hwmhm2w",1,12,1583815487168719271,185970,28.21875,"01:27","76561198100798845","Arttub0b","T","mastermix123",118.0625,1583.625,226.34375,"Banana","975","Flashbang",616.375,2546.375,400.3125,"BombsiteB","2087","2023-06-05 10:21:16.558091+00",196
"2hwmhm2w",1,7,1692623130755737594,111326,78.546875,"00:37","76561198037278295","Beruya","T","mastermix123",652,2066.59375,198.8125,"Banana","213","Smoke Grenade",995.875,2664.15625,129.96875,"BombsiteB","2135","2023-06-05 10:21:16.558091+00",109
"2hwmhm2w",1,5,1727143572782579048,85785,42.109375,"01:13","76561198315324300","MAGILA-","CT","EC Brugge",581.3125,3431.375,237.125,"BombsiteB","6","Flashbang",73.03125,2733.03125,486.6875,"BombsiteB","12","2023-06-05 10:21:16.558091+00",74
"2hwmhm2w",1,7,1728799145043448934,102174,7.046875,"01:48","76561198246325048","swiiffter","CT","EC Brugge",1430,2942.6875,208.3125,"Ruins","2860","Smoke Grenade",506.90625,2036.4375,130.71875,"Banana","9","2023-06-05 10:21:16.558091+00",91
"2hwmhm2w",1,1,1760534965736744138,32310,79.015625,"00:36","76561198100798845","Arttub0b","T","mastermix123",117.71875,1583.8125,226.21875,"Banana","975","Flashbang",593.46875,2559.4375,391.1875,"BombsiteB","2087","2023-06-05 10:21:16.558091+00",3
"2hwmhm2w",1,11,1760823451314960664,166422,6.78125,"01:49","76561198037278295","Beruya","T","mastermix123",-357.34375,-140.8125,104.96875,"Bridge","57","Molotov",1241.09375,-140.71875,259.28125,"Apartments","2626","2023-06-05 10:21:16.558091+00",175
"2hwmhm2w",1,19,1764502920840599001,278135,32.6328125,"01:23","76561198037278295","Beruya","CT","mastermix123",1634.125,1201,231.78125,"Arch","58","Flashbang",1415.15625,573.375,175.71875,"TopofMid","2801","2023-06-05 10:21:16.558091+00",314
"2hwmhm2w",1,6,1798479544445245628,93559,23.84375,"01:32","76561198140853900","Stev0se","CT","EC Brugge",1537.0625,1097.1875,223.34375,"TopofMid","277","Incendiary Grenade",1207.1875,459.09375,114.15625,"Middle","21","2023-06-05 10:21:16.558091+00",86
"2hwmhm2w",1,19,1832546352220567321,275122,9.09375,"01:46","76561198246325048","swiiffter","T","EC Brugge",196.40625,-105.34375,126.28125,"SecondMid","265","Flashbang",748.46875,143.8125,316.0625,"","481","2023-06-05 10:21:16.558091+00",296
"2hwmhm2w",1,10,1835670543751390691,152118,11.265625,"01:44","76561198037278295","Beruya","T","mastermix123",228.90625,-194.28125,174.09375,"SecondMid","2572","Smoke Grenade",1395.8125,1021.4375,154.4375,"TopofMid","80","2023-06-05 10:21:16.558091+00",155
"2hwmhm2w",1,4,1891826646127206659,65048,17.09375,"01:38","76561198821532633","eneshan","T","mastermix123",228.90625,1380.40625,169.5,"Banana","789","Flashbang",472.34375,1935.65625,184.15625,"Banana","118","2023-06-05 10:21:16.558091+00",45
"2hwmhm2w",1,15,1908409389149770950,220597,8.859375,"01:47","76561198314392309","n0te","T","mastermix123",103.8125,1109.125,155.15625,"Banana","327","Molotov",624.46875,1924.5625,135.75,"Banana","509","2023-06-05 10:21:16.558091+00",248
"2hwmhm2w",1,19,1909126029243011750,275464,11.765625,"01:44","76561198037278295","Beruya","CT","mastermix123",1562.5,1162.5625,226.9375,"TopofMid","81","Incendiary Grenade",1234.71875,426.28125,120.0625,"TopofMid","2716","2023-06-05 10:21:16.558091+00",303
"2hwmhm2w",1,5,1917540746630132009,81805,11.015625,"01:44","76561197971923260","simixinho","CT","EC Brugge",1710.34375,137.75,282.84375,"BombsiteA","1735","Incendiary Grenade",911.5625,-115.5625,363.5625,"Balcony","243","2023-06-05 10:21:16.558091+00",62
