"match_id","series","round_num","tick","seconds","clock_time","attacker_steam_id","attacker_name","attacker_side","attacker_team","attacker_x","attacker_y","attacker_z","attacker_area_name","attacker_area_id","victim_steam_id","victim_name","victim_x","victim_y","victim_z","victim_area_name","victim_area_id","is_trade","player_traded_steam_id","player_traded_team","is_first_kill","is_teamkill","weapon","created_at","idx"
"2hwmhm2w",1,5,86261,45.828125,"01:10","76561198314392309","n0te","T","mastermix123",872.7492065429688,2386.85888671875,144.71420288085938,"BombsiteB","839","76561198315324300","MAGILA-",267.3076477050781,3029.27783203125,160.03125,"BombsiteB","1895",False,NULL,NULL,False,False,"AK-47","2023-06-05 10:21:16.653722+00",26
"2hwmhm2w",1,5,86261,45.828125,"01:10","76561198032071879","n0tice","CT","EC Brugge",446.0331726074219,2449.191162109375,160.03125,"BombsiteB","287","76561198191301766","RONDE",471.4130554199219,2556.39697265625,160.03125,"BombsiteB","159",False,NULL,NULL,False,False,"AK-47","2023-06-05 10:21:16.653722+00",27
"2hwmhm2w",1,5,86365,46.640625,"01:09","76561198032071879","n0tice","CT","EC Brugge",434.1601867675781,2451.422119140625,160.03125,"BombsiteB","287","76561198037278295","Beruya",658.0070190429688,2981.9970703125,188.0340576171875,"BombsiteB","2819",False,NULL,NULL,False,False,"AK-47","2023-06-05 10:21:16.653722+00",28
"2hwmhm2w",1,5,87429,54.953125,"01:01","76561198140853900","Stev0se","CT","EC Brugge",820.8065795898438,2775.0146484375,128.01190185546875,"BombsiteB","220","76561198100798845","Arttub0b",877.02978515625,1976.243896484375,142.03125,"Banana","13",False,NULL,NULL,False,False,"AWP","2023-06-05 10:21:16.653722+00",29
"2hwmhm2w",1,5,87692,57.0078125,"00:58","76561198032071879","n0tice","CT","EC Brugge",537.3856201171875,2695.172607421875,160.03125,"BombsiteB","121","76561198314392309","n0te",712.2823486328125,2448.74267578125,135.8200225830078,"BombsiteB","522",False,NULL,NULL,False,False,"AK-47","2023-06-05 10:21:16.653722+00",30
"2hwmhm2w",1,6,92901,18.703125,"01:37","76561198315324300","MAGILA-","CT","EC Brugge",270.73297119140625,1880.3175048828125,127.61663818359375,"","600","76561198821532633","eneshan",69.23383331298828,1376.33154296875,101.82720947265625,"Banana","251",False,NULL,NULL,True,False,"M4A4","2023-06-05 10:21:16.653722+00",31
"2hwmhm2w",1,6,93575,23.96875,"01:32","76561198191301766","RONDE","T","mastermix123",1212.729736328125,441.185791015625,116.2752914428711,"Middle","21","76561198140853900","Stev0se",1541.2589111328125,1099.25244140625,157.59596252441406,"TopofMid","277",False,NULL,NULL,False,False,"P250","2023-06-05 10:21:16.653722+00",32
"2hwmhm2w",1,6,93799,25.71875,"01:30","76561198032071879","n0tice","CT","EC Brugge",448.3147888183594,2036.4205322265625,203.03125,"Banana","1824","76561198037278295","Beruya",29.744369506835938,866.177734375,67.56028747558594,"Banana","1235",False,NULL,NULL,False,False,"AK-47","2023-06-05 10:21:16.653722+00",33
"2hwmhm2w",1,6,95783,41.21875,"01:14","76561198246325048","swiiffter","CT","EC Brugge",1373.8388671875,-35.11602783203125,130.03125,"Quad","396","76561198191301766","RONDE",1336.726318359375,260.5635986328125,131.56224060058594,"TopofMid","1793",False,NULL,NULL,False,False,"AK-47","2023-06-05 10:21:16.653722+00",34
"2hwmhm2w",1,6,97897,57.734375,"00:58","76561198246325048","swiiffter","CT","EC Brugge",1487.6922607421875,399.3588562011719,134.80062866210938,"TopofMid","765","76561198100798845","Arttub0b",933.47998046875,477.87335205078125,88.03668975830078,"Middle","3",False,NULL,NULL,False,False,"AK-47","2023-06-05 10:21:16.653722+00",35
"2hwmhm2w",1,6,98453,62.078125,"00:53","76561197971923260","simixinho","CT","EC Brugge",1639.546875,129.393798828125,134.35623168945312,"BombsiteA","1733","76561198314392309","n0te",2070.271240234375,-237.21841430664062,256.03125,"Balcony","3161",False,NULL,NULL,False,False,"M4A4","2023-06-05 10:21:16.653722+00",36
"2hwmhm2w",1,7,102964,13.21875,"01:42","76561198821532633","eneshan","T","mastermix123",36.75060272216797,896.6290893554688,70.27388763427734,"Banana","1235","76561198315324300","MAGILA-",310.3031311035156,1894.1082763671875,130.03125,"Banana","139",False,NULL,NULL,True,False,"AK-47","2023-06-05 10:21:16.653722+00",37
"2hwmhm2w",1,7,105944,36.5,"01:19","76561197971923260","simixinho","CT","EC Brugge",1735.9552001953125,-32.606258392333984,130.35079956054688,"BombsiteA","896","76561198191301766","RONDE",1213.9437255859375,349.66741943359375,128.03125,"Apartments","180",False,NULL,NULL,False,False,"M4A4","2023-06-05 10:21:16.653722+00",38
"2hwmhm2w",1,7,107078,45.359375,"01:10","76561198100798845","Arttub0b","T","mastermix123",1393.2794189453125,1153.881103515625,163.3941650390625,"TopofMid","749","76561198140853900","Stev0se",2395.01025390625,1001.3207397460938,160.016845703125,"BombsiteA","3054",False,NULL,NULL,False,False,"AK-47","2023-06-05 10:21:16.653722+00",39
"2hwmhm2w",1,7,108202,54.140625,"01:01","76561198032071879","n0tice","CT","EC Brugge",1636.296875,2102.27880859375,160.03125,"CTSpawn","2644","76561198100798845","Arttub0b",1666.368896484375,1647.8118896484375,160.03125,"CTSpawn","354",False,NULL,NULL,False,False,"AK-47","2023-06-05 10:21:16.653722+00",40
"2hwmhm2w",1,7,108914,59.703125,"00:56","76561198032071879","n0tice","CT","EC Brugge",1554.45556640625,2819.901123046875,127.54723358154297,"Ruins","48","76561198821532633","eneshan",658.6114501953125,2623.746337890625,147.78909301757812,"BombsiteB","2736",False,NULL,NULL,False,False,"AK-47","2023-06-05 10:21:16.653722+00",41
